video_id,title,description,published_at,video_link,category,image_120_90,image_320_180,image_480_360,owner,owner_url
MQBuO2yWsFQ,Saya Gray: Tiny Desk Concert,"Bobby Carter | March 5, 2025
Of the 30 million people who have watched Daniel Caesar's Tiny Desk from 2018, plenty of them raved about the band, specifically the bass player. Little did we know that the young, unassuming musician named Saya Gray would be playing at the Desk seven years later, this time front and center.

Gray's pop songs are experimental in nature, so I was eager to hear how her music would cozy up to our space. That inclination to stretch out and try anything comes from her musical family: Her mother, who moved from Japan to Canada, founded Toronto's Discover Through the Arts music school and her dad, a jazz trumpeter, studied at the Berklee College of Music.

Gray leans into the challenge of the Tiny Desk and strips elements away. Like magic, she gives us these light and soulful interpretations of songs from SAYA, plus a throwback to ""IF THERE'S NO SEAT IN THE SKY (WILL YOU FORGIVE ME???)"" from her 2022 debut 19 MASTERS.

SET LIST
""SHELL ( OF A MAN )""
""..THUS IS WHY (I DON'T SPRING 4 LOVE)""
""IF THERE'S NO SEAT IN THE SKY (WILL YOU FORGIVE ME???)""
""LIE DOWN..""

MUSICIANS
Saya Gray: vocals, guitar, bass
Lucian Gray: guitar
John Mavro: drums, bass, guitar
Ace G: keys, background vocals
Kola Rai: background vocals
Taj Sapp: background vocals

TINY DESK TEAM
Producer: Bobby Carter
Director/Editor: Maia Stern
Audio Technical Director: Josh Newell
Videographers: Maia Stern, Joshua Bryant, Wendy Li
Audio Engineer: Andie Huether
Production Assistants: Ashley Pointer, Dora Levite
Photographer: Michael Zamora
Tiny Desk Team: Lars Gotrich, Kara Frame
Executive Producer: Suraya Mohamed
Series Creators: Bob Boilen, Stephen Thompson
VP, Visuals and Music: Keith Jenkins

#nprmusic #tinydesk #sayagray",2025-03-05 12:13:43,https://www.youtube.com/watch?v=MQBuO2yWsFQ,NORMAL,https://i.ytimg.com/vi/MQBuO2yWsFQ/default.jpg,https://i.ytimg.com/vi/MQBuO2yWsFQ/mqdefault.jpg,https://i.ytimg.com/vi/MQBuO2yWsFQ/hqdefault.jpg,NPR Music,https://www.youtube.com/channel/UC4eYXhJI4-7wSWc8UNRwD4A
GhY31ngpnWg,Abel Selaocoe: Tiny Desk Concert,"Tom Huizenga | March 3, 2025
Abel Selaocoe arrived early for his Tiny Desk performance so he could pop into a studio to talk with NPR’s Morning Edition. That’s where the versatile South African cellist and vocalist told the touching story of how he first got the hang of his instrument. Unable to afford a real cello, Selaocoe drew the strings of the instrument on paper, then pasted it to his chest to practice the fingerings.

These days, he tours the world offering his singular synthesis of global, jazz and classical sounds, always remembering his roots, even when collaborating with the likes of Yo-Yo Ma.

Selaocoe’s adroit bowing and percussive fingering gives the cello a vast color palette, with sounds of flutes and drums. His vocalizing, mostly in the Sesotho language, includes a kind of gravelly throat singing in which two or more pitches are produced, heard in the opening song which he dedicates to mothers and strong women who “[hold] the knife on the sharp side.”

French baroque meets contemporary South Africa in “Les Voix Humaines/Tsohle Tsohle,” where Selaocoe braids music by Marin Marais around tender singing. And he closes with an improvisation, noting that he prefers “people who don’t write the script and re-read it again.” The tune begins in a flurry of bowed arpeggios, like white caps on the lake, and evolves into plucked strings with metal clips attached, reminiscent of thumb pianos.

Selaocoe has indeed written his own distinctive “script.” In classical music, there are those who follow age-old traditions — and that’s just fine. But then there are those, like Selaocoe, who create brand-new traditions.

SET LIST
“Ka Bohaleng”
Marin Marais/Selaocoe: “Les Voix Humaines/Tsohle Tsohle”
“Dinaka”

MUSICIANS
Abel Selaocoe: cello, vocals

TINY DESK TEAM
Producer: Tom Huizenga
Director: Joshua Bryant
Audio Technical Director: Josephine Nyounai
Host/Series Producer: Bobby Carter
Video Editor: Kara Frame
Videographers: Joshua Bryant, Maia Stern
Audio Engineer: Josh Newell
Production Assistant: Dora Levite
Photographer: Michael Zamora 
Tiny Desk Team: Lars Gotrich, Ashley Pointer
Executive Producer: Suraya Mohamed
Series Creators: Bob Boilen, Stephen Thompson
VP, Visuals and Music: Keith Jenkins

#tinydesk #nprmusic #abelselaocoe",2025-03-03 14:34:37,https://www.youtube.com/watch?v=GhY31ngpnWg,NORMAL,https://i.ytimg.com/vi/GhY31ngpnWg/default.jpg,https://i.ytimg.com/vi/GhY31ngpnWg/mqdefault.jpg,https://i.ytimg.com/vi/GhY31ngpnWg/hqdefault.jpg,NPR Music,https://www.youtube.com/channel/UC4eYXhJI4-7wSWc8UNRwD4A
wVbZzgybaJ4,Marvin Sapp: Tiny Desk Concert,"Ashley Pointer | February 28, 2025
The morning that Bishop Marvin Sapp came to NPR, he told me that it was his kids who really emphasized how important it was for him to accept our invitation to perform: ""They told me, 'Dad, Tiny Desk is for the culture.' ""

Backed by a four-piece band and a six-piece choir, Sapp transforms our office into a sanctuary, performing an 11-song medley of praise and worship hits that span more than three decades in music and ministry. From the moment his set begins, the spirit moves through the room, filling every corner with raw emotion, joy and reverence.

From Sapp's early days with the trailblazing '90s gospel group Commissioned to penning anthems like ""Never Would Have Made It"" — a song that transcends church walls — his impact is woven into the fabric of Black culture. ""What's funny is, I saw some of y'all singing these songs, and y'all weren't even born when I recorded them,"" Sapp jokes, underscoring his intergenerational influence. Yet, despite his legendary status, Sapp took time after the performance to speak and pray with members of our audience, choosing ministry first, above all else.

SET LIST
""I Believe""
""Not the Time, Not the Place""
""Grace and Mercy""
""Perfect Peace""
""Shout Unto God""
""Here I Am""
""Praise Him in Advance""
""You Are God Alone""
""He Has His Hands on You""
""My Testimony""
""The Best in Me""
""Never Would Have Made It""

MUSICIANS
Bishop Marvin Sapp: vocals
Curtis Lindsey: keys, music director
Thaddeus Johnson: bass
Tavarius ""Varo"" Johnson: drums
Sam Mitchem: guitar
Christina Michelle: background vocals
Gus Lacy: background vocals
Shaki Wilson: background vocals
Jarmone: background vocals
A. D. Gillispie: background vocals
Melissa Lee: background vocals

TINY DESK TEAM
Producers: Bobby Carter, Ashley Pointer
Director/Editor: Joshua Bryant
Audio Technical Director: Josh Newell
Host/Series Producer: Bobby Carter
Videographers: Joshua Bryant, Kara Frame, Maia Stern, Mitra I. Arthur
Audio Engineer: Josephine Nyounai
Production Assistant: Dora Levite
Photographer: Michael Zamora
Tiny Desk Copy Editor: Lars Gotrich
Executive Producer: Suraya Mohamed
Series Creators: Bob Boilen, Stephen Thompson
VP, Visuals and Music: Keith Jenkins

#nprmusic #tinydesk #marvinsapp",2025-02-28 13:09:38,https://www.youtube.com/watch?v=wVbZzgybaJ4,NORMAL,https://i.ytimg.com/vi/wVbZzgybaJ4/default.jpg,https://i.ytimg.com/vi/wVbZzgybaJ4/mqdefault.jpg,https://i.ytimg.com/vi/wVbZzgybaJ4/hqdefault.jpg,NPR Music,https://www.youtube.com/channel/UC4eYXhJI4-7wSWc8UNRwD4A
5X4z95Fqvf4,Igmar Thomas' Revive Big Band: Tiny Desk Concert,"Nikki Birch | February 26, 2025
Right from the jump, the horns hit with crisp urgency, heralding the arrival of Igmar Thomas' Revive Big Band at the Tiny Desk. This is not your grandparents' — or even your great-grandparents' — big band sound. Yes, it feels familiar, but the driving grooves are undeniably hip-hop.

Thomas, whose many hats include trumpeter, composer and musical director, is a founding member of Revive Music Group. The brainchild of the late Meghan Stabile, Revive has created platforms and opportunities, including the big band, for up-and-coming musicians to shine and reshape the landscape of jazz.

In this set, Thomas welcomes fellow founding member Raydar Ellis, associate professor at the Berklee College of Music, to join. Originally produced by Ellis, ""TO KINDA LOUNGE AROUND"" inspired Thomas to turn the track into his first big band composition. Though he conducts the majority of this set, Thomas also plays a fiery trumpet solo here. Both Ellis and Thomas shout out ""fallen soldiers"" of the Revive Music Group, including Stabile and the late saxophonists James Casey and Casey Benjamin.

Performing this Tiny Desk concert required Thomas to rearrange all of the tunes for a smaller big band. He does so successfully. Everything stays true to the sonic integrity of his original compositions and the legacy of big band jazz.

SET LIST
""RPM's""
""TO KINDA LOUNGE AROUND""
""THE COMING""
""R&P""

MUSICIANS
Igmar Thomas: conductor, trumpet 
Brent Birckhead: alto saxophone
Chelsea Baratz: tenor saxophone
Saul Dautch: baritone saxophone
Miles Keingstein: trumpet
Sam Hoyt: trumpet
Barry Stephenson: bass
James Rogers: bass trombone
Corey A. Wallace: trombone
Alex Heffron: guitar
John Davis: drums
Raydar Ellis: vocals

TINY DESK TEAM
Producer: Nikki Birch
Director: Joshua Bryant
Audio Technical Director: Josh Newell
Host/Series Producer: Bobby Carter
Videographers: Joshua Bryant, Maia Stern, Mitra I. Arthur, Keren Carrión
Video Editor: Maia Stern
Audio Engineer: Hannah Gluvna
Production Assistants: Ashley Pointer, Dora Levite
Photographer: Alanté Serene
Tiny Desk Team: Lars Gotrich, Kara Frame
Executive Producer: Suraya Mohamed
Series Creators: Bob Boilen, Stephen Thompson
VP, Visuals and Music: Keith Jenkins

#nprmusic #tinydesk #igmarthomasrevivebigband",2025-02-26 14:42:44,https://www.youtube.com/watch?v=5X4z95Fqvf4,NORMAL,https://i.ytimg.com/vi/5X4z95Fqvf4/default.jpg,https://i.ytimg.com/vi/5X4z95Fqvf4/mqdefault.jpg,https://i.ytimg.com/vi/5X4z95Fqvf4/hqdefault.jpg,NPR Music,https://www.youtube.com/channel/UC4eYXhJI4-7wSWc8UNRwD4A
jNnsTNZR2bU,Leon Thomas: Tiny Desk Concert,"Bobby Carter | February 20, 2025
On the morning of Leon Thomas' Tiny Desk concert, many NPR staffers assumed the show was postponed due to a snowstorm in the D.C. area. Not only did he proactively schedule his coast-to-coast flight but he was also 30 minutes early to the office. With his sophomore album, MUTT, Thomas has planted his flag as the most exciting artist in R&B music today. The Tiny Desk had to happen now; nothing would get in the way of divine timing.

Thomas was destined to be an entertainer — he's been doing it for most of his life. His parents were both musicians and introduced him to their world early on. As an actor, he appeared in multiple Broadway plays before becoming a staple on the Nickelodeon network. Under the tutelage of Babyface, he earned his chops as a writer and producer, eventually penning and producing big hits in R&B and hip-hop.

He opens this set with three songs from MUTT and closes with two from 2023's Electric Dusk, including ""Breaking Point,"" which he dedicates to his recently deceased grandfather, the opera singer John Anthony: ""This is one of his favorite songs.""

SET LIST
""VIBES DON'T LIE""
""YES IT IS""
""MUTT""
""Breaking Point"" 
""Treasure In The Hills""

MUSICIANS
Leon Thomas: vocals, guitar
Chris Payton: guitar
Ali Roots: keys, piano
Joe ""Jough"" Cleveland: bass
Quintin ""Q"" Gulledge: drums
TK: background vocals
Ayana Layli: background vocals
Sha'Leah Nikole: background vocals

TINY DESK TEAM
Producer: Bobby Carter
Director/Editor: Joshua Bryant
Audio Technical Director: Josh Newell
Videographers: Joshua Bryant, Kara Frame, Grace Raver
Audio Engineer: Josephine Nyounai
Production Assistant: Ashley Pointer
Photographer: Alanté Serene
Tiny Desk Team: Maia Stern, Lars Gotrich
Executive Producer: Suraya Mohamed
Series Creators: Bob Boilen, Stephen Thompson
VP, Visuals and Music: Keith Jenkins

#nprmusic #tinydesk #leonthomas",2025-02-20 13:49:49,https://www.youtube.com/watch?v=jNnsTNZR2bU,NORMAL,https://i.ytimg.com/vi/jNnsTNZR2bU/default.jpg,https://i.ytimg.com/vi/jNnsTNZR2bU/mqdefault.jpg,https://i.ytimg.com/vi/jNnsTNZR2bU/hqdefault.jpg,NPR Music,https://www.youtube.com/channel/UC4eYXhJI4-7wSWc8UNRwD4A
cXYgdCXkLMc,girl in red: Tiny Desk Concert,"Robin Hilton | February 11, 2025
Artists who play the Tiny Desk aren't always sure what they're getting into. ""I wasn't expecting it to be in a big building,"" girl in red's Marie Ulven tells the NPR crowd. ""I thought I was going to go into a little house or something.""

Any confusion aside, Ulven and her band deliver a set suitable for the kind of cozy space she imagined, one of genuine charm, good humor and unbridled joy — a vibe that girl in red has always cultivated through music. She can find cause for celebration even in life's bleakest moments, like when Ulven and the band deploy rapid-fire handclaps during a song about the emptiness of unrequited love (""Phantom Pain"") or the way she says ""Depression!"" with a smile and a cheerleader's fist in the air just before ""Summer Depression."" ""It's a normal thing to feel like this,"" she sings, offering a much-needed dose of warmth and empathy on what was an otherwise chilly, overcast day in Washington, D.C.

SET LIST
""Phantom Pain""
""Summer Depression""
""Too Much""
""I Wanna Be Your Girlfriend"" 

MUSICIANS
Marie Ulven: vocals, guitar
Martin Dybal: guitar, music director
Henrik Bakken: bass
Bror Brorson: guitar
Erlend Hisdal: drums
Viljar Dunđerović: keys, piano

TINY DESK TEAM
Producer: Robin Hilton
Director/Editor: Joshua Bryant
Audio Technical Director: Neil Tevault
Host/Series Producer: Bobby Carter
Videographers: Joshua Bryant, Kara Frame, Zayrha Rodriguez
Audio Engineer: Josh Newell
Production Assistant: Ashley Pointer
Photographer: Sofia Seidel
Tiny Desk Team: Lars Gotrich, Maia Stern
Executive Producer: Suraya Mohamed
Series Creators: Bob Boilen, Stephen Thompson
VP, Visuals and Music: Keith Jenkins

#nprmusic #tinydesk #girlinred",2025-02-11 14:34:43,https://www.youtube.com/watch?v=cXYgdCXkLMc,NORMAL,https://i.ytimg.com/vi/cXYgdCXkLMc/default.jpg,https://i.ytimg.com/vi/cXYgdCXkLMc/mqdefault.jpg,https://i.ytimg.com/vi/cXYgdCXkLMc/hqdefault.jpg,NPR Music,https://www.youtube.com/channel/UC4eYXhJI4-7wSWc8UNRwD4A
E6-z-Gqd30Q,Yasmin Williams: Tiny Desk Concert,"Lars Gotrich | February 7, 2025
Yasmin Williams is a fingerstyle guitarist who taps, slaps and slides up and down the fretboard of her instrument with a commanding sense of scenery that flickers between the strings. Storytellers build worlds; at the Tiny Desk, Williams invites us into hers.

Each song in this performance is a chapter that introduces the characters in and around her music. ""Hummingbird"" features the clawhammer banjo of Allison de Groot and fiddle of Tatiana Hargreaves — they're fixtures in the old-time music scene who help to bring this rapturous romp to life. (And, aside from recording ""Hummingbird"" for Acadia, this is only the second time that the trio has performed the composition together.) The majestic ""Sisters"" invites strings, djembe and a 10-foot marimba behind the Desk to paint a picture of a beautiful Oregon town that, in Williams' estimation, needs some scenic overlooks.

We love a story that comes full circle. In 2018, we were mesmerized by Williams' Tiny Desk Contest entry, in which she performed ""Guitka"" with a kalimba taped to her guitar and tap shoes on her feet. She reprises the song here, with the help of djembe player Amadou Kouyate. ""It's fun to do everything at the same time!"" she tells the crowd, which includes family and friends from her Northern Virginia home. (Her mom beamed telling me about the time Williams won an NYU talent show as a college freshman.) When Williams closes with an early track, ""Restless Heart,"" we're taken back to the beginning: A kid who'd whoop her brothers at Guitar Hero, fell in love with the instrument itself, but never lost her sense of play.

SET LIST
""Hummingbird""
""Sisters""
""Guitka""
""Restless Heart""

MUSICIANS
Yasmin Williams: guitar, kalimba, tap shoes
Allison de Groot: banjo
Tatiana Hargreaves: fiddle
Lelia-Michelle Walker: viola
Maggy Simon: violin
Morgan Brown: viola
Marcus Grant: marimba
Amadou Kouyate: djembe

TINY DESK TEAM
Producer: Lars Gotrich
Director/Editor: Maia Stern
Audio Technical Director: Josh Newell
Host/Series Producer: Bobby Carter
Videographers: Maia Stern, Joshua Bryant, Kara Frame
Audio Engineer: Andie Huether
Production Assistant: Ashley Pointer
Photographer: Sofia Seidel
Tiny Desk Copy Editor: Hazel Cills
Executive Producer: Suraya Mohamed
Series Creators: Bob Boilen, Stephen Thompson
VP, Visuals and Music: Keith Jenkins

#yasminwilliams #nprmusic #tinydesk",2025-02-07 12:03:42,https://www.youtube.com/watch?v=E6-z-Gqd30Q,NORMAL,https://i.ytimg.com/vi/E6-z-Gqd30Q/default.jpg,https://i.ytimg.com/vi/E6-z-Gqd30Q/mqdefault.jpg,https://i.ytimg.com/vi/E6-z-Gqd30Q/hqdefault.jpg,NPR Music,https://www.youtube.com/channel/UC4eYXhJI4-7wSWc8UNRwD4A
vdph2l0iw74,Roberto Fonseca: Tiny Desk Concert,"Felix Contreras | February 5, 2025
In Cuba, pianists explore the wonderful rhythms of the island with their own percussive sense of melody. From the very first song in Roberto Fonseca’s Tiny Desk, we’re reminded of the Afro-Cuban jazz tradition’s long history: Not only do we get a driving foundation but also the kinds of horn lines that have sounded since the 1940s when Afro-Cuban rhythms and jazz improvisation bumped into each other.

The best always make it look easy. These band members, in particular, look like they could do this in their sleep. But there is a slight shift in the musical personality of this performance when the band strips down to a quartet: Fonseca's mastery of the instrument fuels the fiery finale. 

SET LIST
“Yanim”
“Baila Mulata”
“Aggua”

MUSICIANS
Roberto Fonseca: piano
Ruly Herrera: drums
Sam Burgos: bass
Christian Ortiz: baritone saxophone
Thommy Lowry Garcia Rojas: trumpet
Carlos Averhoff Jr.: tenor saxophone
Degnis Bofill: percussion

TINY DESK TEAM
Producer: Felix Contreras
Director/Editor: Kara Frame
Audio Technical Director: Josh Newell
Host/Series Producer: Bobby Carter
Videographers: Kara Frame, Joshua Bryant, Maia Stern, Zayrha Rodriguez
Audio Engineer: Tiffany Vera Castro
Production Assistant: Ashley Pointer
Photographer: Michael Zamora
Tiny Desk Copy Editor: Lars Gotrich
Executive Producer: Suraya Mohamed
Series Creators: Bob Boilen, Stephen Thompson
VP, Visuals and Music: Keith Jenkins

#tinydesk #nprmusic #robertofonseca",2025-02-05 14:54:07,https://www.youtube.com/watch?v=vdph2l0iw74,NORMAL,https://i.ytimg.com/vi/vdph2l0iw74/default.jpg,https://i.ytimg.com/vi/vdph2l0iw74/mqdefault.jpg,https://i.ytimg.com/vi/vdph2l0iw74/hqdefault.jpg,NPR Music,https://www.youtube.com/channel/UC4eYXhJI4-7wSWc8UNRwD4A
l7OtKIZE7tE,Braxton Cook: Tiny Desk Concert,"Ashley Pointer | February 3, 2025
When Braxton Cook stepped into our space, he radiated a palpable sense of gratitude. As a Tiny Desk all-star, he's no stranger to our little corner: He's played alongside Christian Scott aTunde Adjuah, Tom Misch, Phony Ppl and Amaarae, plus gave his own Tiny Desk (home) concert in 2020. But here he takes center stage with his own band, performs his own compositions and transforms the Tiny Desk into a playground.

The Prince George's County-bred musician opens the set with ""MB (for Ma'Khia Bryant),"" a soul stirring and dynamic tribute to the Black teenager who was shot and killed by a police officer. Cook and guitarist Lucas Kadish lock in on the melody, while Jonathan Pinson's powerful drum groove propels the song forward. Pulling from his latest project, My Everything, Cook switches to acoustic guitar and flute for the title track, serving up some smooth vocals. On ""Zodiac,"" a composition inspired by jazz pianist Mary Lou Williams, Mathis Picard commands the keys in a flurry of a solo.

Cook closes with the currently unreleased ""We've Come So Far"" and it feels like a triumph. ""[This song] is about taking stock of how far we've come in life, and being grateful and finding gratitude everyday,"" Cook shares. With this performance, he embodies that very sentiment: Cook turns his journey into a celebration of growth, artistry and appreciation.

SET LIST
""MB (for Ma'Khia Bryant)""
""My Everything"" 
""Zodiac""
""We've Come So Far"" 

MUSICIANS
Braxton Cook: alto saxophone, lead vocals, flute, guitar
Mathis Picard: keys, piano
Lucas Kadish: guitar
Kris Funn: upright bass, electric bass
Curtis Nowosad: drums
Jonathan Pinson: drums [on ""MB (for Ma'khia Bryant)""]
Michael ""Sonny Step"" Stephenson: saxophone, vocals 
Kola Rai: vocals
Taj Sapp: vocals 

TINY DESK TEAM
Producer: Ashley Pointer
Director/Editor: Joshua Bryant
Audio Technical Director: Josh Newell 
Host/Series Producer: Bobby Carter
Videographers: Joshua Bryant, Kara Frame, Mitra I. Arthur, Sofia Seidel
Audio Engineer: Hannah Gluvna
Production Assistant: Elle Mannion
Photographer: Alanté Serene
Tiny Desk Team: Maia Stern, Hazel Cills, Lars Gotrich
Executive Producer: Suraya Mohamed
Series Creators: Bob Boilen, Stephen Thompson
VP, Visuals and Music: Keith Jenkins

#tinydesk #nprmusic #braxtoncook",2025-02-03 14:29:53,https://www.youtube.com/watch?v=l7OtKIZE7tE,NORMAL,https://i.ytimg.com/vi/l7OtKIZE7tE/default.jpg,https://i.ytimg.com/vi/l7OtKIZE7tE/mqdefault.jpg,https://i.ytimg.com/vi/l7OtKIZE7tE/hqdefault.jpg,NPR Music,https://www.youtube.com/channel/UC4eYXhJI4-7wSWc8UNRwD4A
1ul9aWg0AQo,Faye Webster: Tiny Desk Concert,"Elle Mannion | January 31, 2025
If you want it, Faye Webster’s Tiny Desk can offer an escape. Featuring her longtime band and a string quartet, Webster guides us through a swooning and sweeping set culled from her quickly growing catalog. 

Webster’s Underdressed at the Symphony was inspired by just that: Buying last-minute tickets to the symphony orchestra in her hometown of Atlanta and finding the experience otherworldly. She performs “But Not Kiss” and the title track from that album. Webster is a gentle but captivating performer in this space, at times grooving with her locked-in band. But she also appears to be in a trance of her own, like on the Atlanta Millionaires Club cuts “Jonny” and its spoken-word reprise. The horns heard on those original recordings gave everything a brassy warmth, but here Trey Pollard’s string arrangements enhance this Tiny Desk’s dream-like quality. 

SET LIST
“In A Good Way”
“But Not Kiss”
“Underdressed at the Symphony”
“Jonny”
“Jonny (Reprise)”

MUSICIANS
Faye Webster: vocals, guitar
Noor Khan: bass, backing vocals
Matthew Stoessel: guitar, pedal steel 
Nick Rosen: piano
Charles Garner: drums, percussion
Ellen Riccio: violin 
Danielle Wiebe Burke: viola 
Stephanie Barrett: cello 
Annie Leeth: violin

TINY DESK TEAM
Producer: Elle Mannion
Director/Editor: Kara Frame
Audio Technical Director: Josh Newell
Host/Series Producer: Bobby Carter
Videographers: Kara Frame, Maia Stern, Joshua Bryant, Sofia Seidel
Audio Engineer: Andie Huether
Production Assistant: Ashley Pointer
Photographer: Estefania Mitre
Tiny Desk Copy Editor: Hazel Cills
Executive Producer: Suraya Mohamed
Series Creators: Bob Boilen, Stephen Thompson
VP, Visuals and Music: Keith Jenkins

#tinydesk #nprmusic #fayewebster",2025-01-31 15:18:01,https://www.youtube.com/watch?v=1ul9aWg0AQo,NORMAL,https://i.ytimg.com/vi/1ul9aWg0AQo/default.jpg,https://i.ytimg.com/vi/1ul9aWg0AQo/mqdefault.jpg,https://i.ytimg.com/vi/1ul9aWg0AQo/hqdefault.jpg,NPR Music,https://www.youtube.com/channel/UC4eYXhJI4-7wSWc8UNRwD4A
